DT_1,PRECIP,DUR,INT,ANT,BTW,CUM,SUM_BEF_TTH,SUM_AFT_TTH,D_CON,T_CON,SID,INT_BEF_30,INT_AFT_30
2000-01-01T09:04:00Z,0.254,1,15.24,1,0,1,0.254,33.02,TRUE,FALSE,1,0.508,13.716
2000-01-01T09:08:00Z,0.254,1,15.24,4,3,5,0.508,32.766,TRUE,FALSE,1,1.016,19.811999999999998
2000-01-01T09:12:00Z,0.254,1,15.24,4,3,9,0.762,32.512,TRUE,FALSE,1,1.524,29.464
2000-01-01T09:16:00Z,0.254,1,15.24,4,3,13,1.016,32.258,TRUE,FALSE,1,2.032,39.116
2000-01-01T09:20:00Z,0.254,1,15.24,4,3,17,1.27,32.004,TRUE,FALSE,1,2.54,48.768
2000-01-01T09:21:00Z,0.254,1,15.24,1,0,18,1.524,31.75,TRUE,FALSE,1,3.048,50.8
2000-01-01T09:22:00Z,0.254,1,15.24,1,0,19,1.778,31.496,TRUE,FALSE,1,3.556,51.308
2000-01-01T09:23:00Z,0.254,1,15.24,1,0,20,2.032,31.242,TRUE,FALSE,1,4.064,51.816
2000-01-01T09:24:00Z,0.254,1,15.24,1,0,21,2.286,30.988,TRUE,FALSE,1,4.572,52.324
2000-01-01T09:25:00Z,0.254,1,15.24,1,0,22,2.54,30.733999999999998,TRUE,FALSE,1,5.08,53.339999999999996
2000-01-01T09:26:00Z,0.254,1,15.24,1,0,23,2.794,30.48,TRUE,FALSE,1,5.588,53.848
2000-01-01T09:27:00Z,0.254,1,15.24,1,0,24,3.048,30.226,TRUE,FALSE,1,6.096,54.356
2000-01-01T09:28:00Z,0.7619999999999999,1,45.71999999999999,1,0,25,3.81,29.972,TRUE,FALSE,1,7.62,54.864
2000-01-01T09:29:00Z,0.508,1,30.48,1,0,26,4.318,29.21,TRUE,FALSE,1,8.636,53.848
2000-01-01T09:30:00Z,0.7619999999999999,1,45.71999999999999,1,0,27,5.08,28.701999999999998,TRUE,FALSE,1,10.16,52.832
2000-01-01T09:31:00Z,0.508,1,30.48,1,0,28,5.588,27.94,TRUE,FALSE,1,11.176,51.816
2000-01-01T09:32:00Z,0.7619999999999999,1,45.71999999999999,1,0,29,6.35,27.432,TRUE,FALSE,1,12.7,50.8
2000-01-01T09:33:00Z,0.508,1,30.48,1,0,30,6.858,26.67,TRUE,FALSE,1,13.716,49.784
2000-01-01T09:34:00Z,0.7619999999999999,1,45.71999999999999,1,0,31,7.619999999999999,26.162,TRUE,FALSE,1,14.732,49.276
2000-01-01T09:35:00Z,0.508,1,30.48,1,0,32,8.128,25.4,TRUE,FALSE,1,15.748,47.752
2000-01-01T09:36:00Z,0.7619999999999999,1,45.71999999999999,1,0,33,8.889999999999999,24.892,TRUE,FALSE,1,17.272,47.244
2000-01-01T09:37:00Z,1.27,1,76.2,1,0,34,10.16,24.13,TRUE,FALSE,1,19.811999999999998,45.72
2000-01-01T09:38:00Z,1.27,1,76.2,1,0,35,11.43,22.86,TRUE,FALSE,1,21.843999999999998,43.18
2000-01-01T09:39:00Z,1.27,1,76.2,1,0,36,12.7,21.59,TRUE,FALSE,1,24.384,40.64
2000-01-01T09:40:00Z,1.27,1,76.2,1,0,37,13.969999999999999,20.32,TRUE,FALSE,1,26.924,38.1
2000-01-01T09:41:00Z,1.27,1,76.2,1,0,38,15.24,19.05,TRUE,FALSE,1,29.464,35.56
2000-01-01T09:42:00Z,1.27,1,76.2,1,0,39,16.509999999999998,17.78,TRUE,FALSE,1,31.496,33.02
2000-01-01T09:43:00Z,1.27,1,76.2,1,0,40,17.78,16.51,TRUE,FALSE,1,34.036,30.48
2000-01-01T09:44:00Z,1.27,1,76.2,1,0,41,19.05,15.24,TRUE,FALSE,1,36.576,27.94
2000-01-01T09:45:00Z,1.27,1,76.2,1,0,42,20.32,13.97,TRUE,FALSE,1,39.116,25.4
2000-01-01T09:46:00Z,1.27,1,76.2,1,0,43,21.59,12.7,TRUE,FALSE,1,41.147999999999996,22.86
2000-01-01T09:47:00Z,1.27,1,76.2,1,0,44,22.86,11.43,TRUE,FALSE,1,43.688,20.32
2000-01-01T09:48:00Z,1.27,1,76.2,1,0,45,24.13,10.16,TRUE,FALSE,1,46.228,17.78
2000-01-01T09:49:00Z,1.27,1,76.2,1,0,46,25.4,8.89,TRUE,FALSE,1,48.768,15.748
2000-01-01T09:50:00Z,1.27,1,76.2,1,0,47,26.669999999999998,7.62,TRUE,FALSE,1,50.8,13.208
2000-01-01T09:51:00Z,0.508,1,30.48,1,0,48,27.178,6.35,TRUE,FALSE,1,51.308,10.668
2000-01-01T09:52:00Z,0.508,1,30.48,1,0,49,27.686,5.842,TRUE,FALSE,1,51.816,10.16
2000-01-01T09:53:00Z,0.508,1,30.48,1,0,50,28.194,5.334,TRUE,FALSE,1,52.324,9.144
2000-01-01T09:54:00Z,0.7619999999999999,1,45.71999999999999,1,0,51,28.956,4.826,TRUE,FALSE,1,53.339999999999996,8.128
2000-01-01T09:55:00Z,0.508,1,30.48,1,0,52,29.464,4.064,TRUE,FALSE,1,53.848,7.112
2000-01-01T09:56:00Z,0.508,1,30.48,1,0,53,29.972,3.556,TRUE,FALSE,1,54.356,6.096
2000-01-01T09:57:00Z,0.508,1,30.48,1,0,54,30.48,3.048,TRUE,FALSE,1,54.864,5.08
2000-01-01T09:58:00Z,0.254,1,15.24,1,0,55,30.733999999999998,2.54,TRUE,FALSE,1,53.848,4.572
2000-01-01T10:00:00Z,0.254,1,15.24,2,1,57,30.988,2.286,TRUE,FALSE,1,51.816,4.064
2000-01-01T10:02:00Z,0.254,1,15.24,2,1,59,31.242,2.032,TRUE,FALSE,1,49.784,4.064
2000-01-01T10:03:00Z,0.254,1,15.24,1,0,60,31.496,1.778,TRUE,FALSE,1,49.276,3.556
2000-01-01T10:05:00Z,0.254,1,15.24,2,1,62,31.75,1.524,TRUE,FALSE,1,47.244,3.048
2000-01-01T10:18:00Z,0.254,1,15.24,13,12,75,32.004,1.27,TRUE,FALSE,1,15.748,2.54
2000-01-01T10:21:00Z,0.254,1,15.24,3,2,78,32.258,1.016,TRUE,FALSE,1,10.16,2.032
2000-01-01T10:24:00Z,0.254,1,15.24,3,2,81,32.512,0.762,TRUE,FALSE,1,7.112,1.524
2000-01-01T10:27:00Z,0.254,1,15.24,3,2,84,32.766,0.508,TRUE,FALSE,1,4.572,1.016
2000-01-01T10:30:00Z,0.254,1,15.24,3,2,87,33.02,0.254,TRUE,FALSE,1,4.064,0.508
