DT_1,PRECIP,DUR,INT,ANT,BTW,CUM,SUM_BEF_TTH,SUM_AFT_TTH,D_CON,T_CON,SID,INT_BEF_30,INT_AFT_30
2000-01-01T09:10:00Z,0.508,10,3.048,10,0,10,0.508,33.019999999999996,TRUE,FALSE,1,1.016,10.159999999999998
2000-01-01T09:20:00Z,0.7619999999999999,10,4.572,10,0,20,1.27,32.512,TRUE,FALSE,1,2.54,26.923999999999996
2000-01-01T09:30:00Z,3.8099999999999996,10,22.86,10,0,30,5.079999999999999,31.749999999999996,TRUE,FALSE,1,10.159999999999998,50.8
2000-01-01T09:40:00Z,8.889999999999999,10,53.339999999999996,10,0,40,13.969999999999999,27.939999999999998,TRUE,FALSE,1,26.923999999999996,51.815999999999995
2000-01-01T09:50:00Z,12.7,10,76.2,10,0,50,26.669999999999998,19.05,TRUE,FALSE,1,50.8,35.56
2000-01-01T10:00:00Z,4.3180000000000005,10,25.908000000000005,10,0,60,30.988,6.3500000000000005,TRUE,FALSE,1,51.815999999999995,10.668000000000001
2000-01-01T10:10:00Z,0.7619999999999999,10,4.572,10,0,70,31.749999999999996,2.032,TRUE,FALSE,1,35.56,4.064
2000-01-01T10:20:00Z,0.254,10,1.524,10,0,80,32.004,1.27,TRUE,FALSE,1,10.668000000000001,2.54
2000-01-01T10:30:00Z,1.016,10,6.096,10,0,90,33.019999999999996,1.016,TRUE,FALSE,1,4.064,2.032
