DT_1,PRECIP,DUR,INT,ANT,BTW,CUM,SUM_BEF_TTH,SUM_AFT_TTH,D_CON,T_CON,SID,INT_BEF_30,INT_AFT_30
2000-01-01T09:15:00Z,0.7619999999999999,15,3.0479999999999996,15,0,15,0.7619999999999999,33.019999999999996,TRUE,FALSE,1,1.5239999999999998,10.16
2000-01-01T09:30:00Z,4.3180000000000005,15,17.272000000000002,15,0,30,5.08,32.257999999999996,TRUE,FALSE,1,10.16,39.116
2000-01-01T09:45:00Z,15.239999999999998,15,60.959999999999994,15,0,45,20.32,27.939999999999998,TRUE,FALSE,1,39.116,51.815999999999995
2000-01-01T10:00:00Z,10.668,15,42.672,15,0,60,30.988,12.7,TRUE,FALSE,1,51.815999999999995,22.86
2000-01-01T10:15:00Z,0.7619999999999999,15,3.0479999999999996,15,0,75,31.749999999999996,2.032,TRUE,FALSE,1,22.86,4.064
2000-01-01T10:30:00Z,1.27,15,5.08,15,0,90,33.019999999999996,1.27,TRUE,FALSE,1,4.064,2.54
