DT_1,PRECIP
2000-01-02T10:50:00Z,0
2000-01-02T11:20:00Z,0.254
2000-01-03T17:19:00Z,0
2000-01-03T18:18:00Z,0.249766667
2000-01-03T18:19:00Z,0.008466667
2000-01-03T19:18:00Z,0.249766667
2000-01-04T00:39:00Z,0
2000-01-04T01:09:00Z,0.136071429
2000-01-04T01:35:00Z,0.235857143
2000-01-04T01:51:00Z,0.072571429
2000-01-04T02:05:00Z,0.122766667
2000-01-04T02:51:00Z,0.194733333
2000-01-04T03:57:00Z,0
2000-01-04T04:57:00Z,0.254
2000-01-04T08:28:00Z,0
2000-01-04T09:28:00Z,0.254
2000-01-04T13:57:00Z,0
2000-01-04T14:57:00Z,0.254
2000-01-04T17:25:00Z,0
2000-01-04T17:55:00Z,0.1905
2000-01-04T18:05:00Z,0.204611111
2000-01-04T18:13:00Z,0.172653595
2000-01-04T18:39:00Z,0.368024768
2000-01-04T18:51:00Z,0.232610526
2000-01-04T18:59:00Z,0.257907692
2000-01-04T19:04:00Z,0.256442308
2000-01-04T19:07:00Z,0.179916667
2000-01-04T19:13:00Z,0.235594203
2000-01-04T19:30:00Z,0.331672464
2000-01-04T19:43:00Z,0.260157576
2000-01-04T19:52:00Z,0.246784091
2000-01-04T19:59:00Z,0.188429348
2000-01-04T20:15:00Z,0.379895652
2000-01-04T20:19:00Z,0.220133333
2000-01-04T20:20:00Z,0.042333333
2000-01-04T20:21:00Z,0.296333333
2000-01-04T20:23:00Z,0.508
2000-01-04T20:25:00Z,0.1016
2000-01-04T20:28:00Z,0.261257143
2000-01-04T20:35:00Z,0.508
2000-01-04T20:39:00Z,0.272142857
2000-01-04T20:43:00Z,0.219363636
2000-01-04T20:49:00Z,0.138545455
2000-01-04T20:50:00Z,0.277090909
2000-01-04T20:51:00Z,0.508
2000-01-04T20:52:00Z,0.254
2000-01-04T20:55:00Z,0.084666667
2000-01-04T21:05:00Z,0.536222222
2000-01-04T21:10:00Z,0.299861111
2000-01-04T21:13:00Z,0.22225
2000-01-04T21:16:00Z,0.254
2000-01-04T21:19:00Z,0.2794
2000-01-04T21:24:00Z,0.508
2000-01-04T21:26:00Z,0.2286
2000-01-04T21:28:00Z,0.254
2000-01-04T21:30:00Z,0.2286
2000-01-04T21:32:00Z,0.1016
2000-01-04T21:33:00Z,0.3048
2000-01-04T21:34:00Z,0.254
2000-01-04T21:36:00Z,0.1016
2000-01-04T21:41:00Z,0.508
2000-01-04T21:47:00Z,0.5588
2000-01-04T21:49:00Z,0.2286
2000-01-04T21:51:00Z,0.254
2000-01-04T21:53:00Z,0.2286
2000-01-04T21:56:00Z,0.3048
2000-01-04T22:00:00Z,0.4572
2000-01-04T22:03:00Z,0.3048
2000-01-04T22:07:00Z,0.4572
2000-01-04T22:10:00Z,0.2794
2000-01-04T22:13:00Z,0.211666667
